N1,A,N2
53,579,14
53,174,176
53,35,3672
54,225,1062
54,2337,3805
54,2772,3721
55,2634,801
55,1329,922
55,540,3042
56,2634,986
56,806,491
56,2634,277
57,812,1952
57,1128,2312
57,3856,2803
58,1972,378
58,435,2813
58,1353,1572
59,4195,262
59,1164,1466
59,1164,235
60,1085,375
60,1116,375
60,2320,1675
61,1020,2173
61,977,814
61,4529,23
62,888,62
62,1703,1556
62,888,2563
63,3512,424
63,1915,1003
63,1833,1144
64,779,494
64,3452,231
64,1370,630
65,1359,1407
65,753,1667
65,2881,121
66,997,57
66,35,417
66,2281,4953
67,329,570
67,2414,537
67,3576,3228
69,2104,820
69,2772,625
69,2772,321
70,1915,1253
70,42,191
70,1571,331
71,3151,1975
71,556,3484
71,1338,1613
72,3969,653
72,1128,2514
72,3271,4481
73,540,884
73,360,364
73,4562,3225
74,702,2703
74,693,2792
74,1077,2726
75,148,137
75,1248,994
75,1186,125
76,355,1888
76,150,654
76,360,2045
77,736,3749
77,2104,469
77,736,688
78,183,533
78,373,1039
78,183,485
79,187,545
79,1086,1564
79,1548,597
80,1116,1996
80,2226,2889
80,1819,2364
81,1186,270
81,532,1961
81,1746,508
82,1303,321
82,568,3815
82,1851,782
83,2399,3504
83,888,3790
83,68,718
84,1303,177
84,2881,667
84,526,669
85,448,2919
85,977,1764
85,2267,207
86,601,976
86,416,165
86,3352,4379
87,2905,2278
87,4014,3920
87,3354,2942
88,1164,863
88,3016,1276
88,68,1366
89,1772,4005
89,693,1105
89,693,202
90,174,429
90,174,1675
90,997,4716
91,148,2783
91,435,1796
91,435,701
92,292,7
92,329,2489
92,360,197
93,1248,877
93,1098,1047
93,1914,274
94,3224,795
94,1772,164
94,2769,2291
95,702,740
95,46,1318
95,1024,1981
96,812,733
96,1269,1267
96,4079,3328
97,532,111
97,850,154
97,901,249
98,1819,106
98,435,33
98,355,8
99,1020,2241
99,1020,269
99,1116,171
100,2104,69
100,1400,2624
100,2362,274
101,1338,1581
101,1237,2171
101,1237,3586
103,2226,4656
103,4711,951
103,416,297
104,1269,549
104,1186,161
104,1186,202
105,329,291
105,2604,2183
105,319,1097
106,3016,2613
106,4233,106
106,355,2991
107,1269,3391
107,888,929
107,1819,80
108,901,4190
108,901,2657
108,150,1856
109,330,238
109,753,266
109,225,186
110,150,1297
110,4671,848
110,2104,4978
111,148,144
111,150,179
111,1400,1099
112,2104,2652
112,292,716
112,225,823
113,4235,123
113,4235,308
113,579,79
114,2160,2749
114,1116,177
114,3033,918
115,150,558
115,360,3475
115,1186,295
117,5092,1777
117,578,383
117,187,871
118,1455,2364
118,292,1791
118,1455,3273
119,578,942
119,2289,574
119,1915,2754
120,35,2953
120,3608,1290
120,3199,1097
121,526,2737
121,578,1641
121,225,432
122,355,3547
122,1213,910
122,1338,671
123,1086,1302
123,4235,1607
123,1819,234
124,330,109
124,702,2174
124,330,1299
125,3220,173
125,2399,3
125,3151,1262
126,183,163
126,3505,1341
126,478,904
127,1370,2741
127,355,677
127,42,2221
128,292,2873
128,42,3444
128,448,101
129,3345,958
129,3630,23
129,1751,5144
130,363,357
130,1219,2374
130,330,3237
131,363,377
131,2814,223
131,3576,67
132,373,1520
132,35,1
132,35,3433
133,2949,1360
133,2002,4725
133,102,2578
134,1384,1430
134,1332,1220
134,1914,783
135,1892,257
135,1892,3394
135,1892,2084
136,4814,82
136,3147,1107
136,905,2719
137,150,2
137,1161,2428
137,148,1079
138,1271,19
138,1271,3380
138,3016,823
139,1338,0
139,398,1118
139,579,1650
140,1732,495
140,174,1855
140,2104,4978
141,102,2891
141,1020,492
141,862,2747
142,2104,196
142,363,3348
142,363,1121
143,35,291
143,363,1261
143,398,3870
144,2881,2607
144,373,72
144,1085,791
145,943,912
145,1614,534
145,2814,28
146,812,1097
146,3199,120
146,3199,13
147,2455,2350
147,373,2075
147,579,1
149,187,860
149,2814,1421
149,2281,974
151,225,414
151,46,1060
151,1359,1367
152,1833,716
152,601,1028
152,42,2714
153,68,4404
153,943,425
153,35,342
154,1024,3060
154,1024,3816
154,758,430
155,532,1
155,2769,94
155,292,118
156,435,4216
156,416,1297
156,416,456
157,1859,2882
157,1505,1291
157,1338,342
158,702,1374
158,150,615
158,1161,320
159,663,1233
159,1098,3119
159,373,77
160,1851,2875
160,3915,4554
160,3915,465
161,1746,3944
161,204,2837
161,46,1392
162,2877,3074
162,1250,49
162,2104,311
163,736,1142
163,1164,695
163,183,372
164,2634,2403
164,540,4025
164,1772,310
165,2226,2817
165,416,100
165,2226,1437
166,3556,1056
166,1229,19
166,1548,213
167,779,392
167,187,3645
167,360,464
168,478,2365
168,1400,405
168,355,2524
169,905,3758
169,4236,1988
169,2591,1326
170,1505,2540
170,4192,2175
170,1085,1804
171,148,1083
171,292,1940
171,4601,101
172,1248,1182
172,556,743
172,2825,563
173,1746,690
173,3220,173
173,815,2405
175,3636,1371
175,3452,69
175,148,144
176,363,78
176,204,1730
176,3288,296
177,1077,0
177,762,959
177,921,1565
178,4855,29
178,815,1000
178,1086,113
179,982,1044
179,1271,1310
179,150,143
180,2949,74
180,2337,275
180,2679,1743
181,416,1256
181,862,2232
181,2399,1051
182,1128,0
182,901,1266
182,363,2638
184,46,512
184,1767,649
184,3201,2335
185,1329,445
185,1329,838
185,416,2042
186,568,3751
186,2768,314
186,2949,4499
188,35,2895
188,150,1544
188,526,1096
189,4331,189
189,4918,4280
189,4331,2813
190,3763,1735
190,605,1562
190,779,1919
191,42,710
191,1128,3039
191,42,298
192,1024,4065
192,736,4461
192,3766,2585
193,3983,894
193,102,1061
193,3983,1987
194,148,733
194,1303,314
194,35,4211
195,1441,920
195,532,513
195,758,3615
196,977,405
196,1746,2487
196,1746,2090
197,691,1293
197,1603,4204
197,360,37
198,601,2946
198,3915,525
198,601,2298
199,753,1188
199,1116,433
199,779,1133
200,148,3631
200,977,1696
200,174,914
201,1818,196
201,3297,4849
201,1229,19
202,1077,0
202,2877,1946
202,3151,288
203,2880,55
203,1548,967
203,1548,2450
205,977,11
205,373,10
205,1833,1831
206,2414,1078
206,3636,1060
206,997,1097
207,2455,2628
207,448,272
207,2267,2200
208,526,1240
208,174,471
208,3452,231
209,373,99
209,1329,4083
209,1657,2223
210,1353,71
210,4451,1147
210,3766,20
211,1219,1739
211,2319,2354
211,1086,3979
212,3253,85
212,1086,2096
212,355,4661
213,416,1737
213,1400,6
213,1495,263
214,1353,281
214,2814,2128
214,46,107
215,702,2061
215,3151,1538
215,3034,20
216,225,323
216,1128,7
216,225,81
217,1338,369
217,3427,25
217,2337,217
218,1155,207
218,1614,995
218,1614,3528
219,1041,181
219,4331,741
219,4331,189
220,1920,1675
220,1920,964
220,2002,1244
221,398,2819
221,2814,89
221,1571,4182
222,578,739
222,1751,4602
222,949,154
223,286,2152
223,286,3647
223,225,2811
224,2104,142
224,1441,1044
224,578,883
226,532,1946
226,532,2712
226,148,2124
227,1213,1028
227,1467,2465
227,4157,754
228,102,352
228,416,159
228,68,489
229,4079,4068
229,360,1176
229,150,558
230,2461,783
230,395,4276
230,183,2749
231,3915,465
231,3915,3238
231,779,85
232,540,101
232,395,2508
232,2358,474
233,1332,2496
233,2281,233
233,1441,1660
234,416,1115
234,1819,3
234,1868,4164
235,3345,10
235,3345,16
235,3151,513
236,997,2428
236,148,381
236,4599,1313
237,24,1789
237,24,1378
237,42,1076
238,949,4578
238,24,9
238,2713,524
239,1851,40
239,42,1007
239,42,1101
240,1746,728
240,693,1514
240,736,701
241,977,260
241,949,2382
241,24,2624
242,330,1010
242,46,1623
242,693,1942
243,2480,1039
243,3220,353
243,1732,944
244,1703,263
244,204,1058
244,815,1477
245,1505,4642
245,812,2636
245,1859,3012
246,4362,3628
246,286,169
246,1970,2185
247,1116,126
247,4088,312
247,1934,2054
248,68,1981
248,148,2242
248,691,296
249,3271,72
249,116,384
249,116,942
250,2267,499
250,4331,250
250,601,976
251,4671,5046
251,2267,1109
251,42,708
252,1818,788
252,373,2678
252,315,134
253,362,2904
253,319,2490
253,812,4229
254,4233,2266
254,42,524
254,2680,433
255,1248,513
255,1250,2797
255,1970,2818
256,540,17
256,702,1104
256,373,826
257,1892,486
257,373,1695
257,448,1720
258,1892,486
258,435,3747
258,398,2305
259,526,1381
259,4936,240
259,292,709
260,1495,1151
260,1495,241
260,435,320
261,762,1897
261,1603,963
261,1868,4963
262,753,41
262,806,1202
262,806,4995
263,997,724
263,1767,3358
263,736,1235
264,812,418
264,183,3317
264,292,4029
265,42,340
265,4374,4437
265,4374,1704
266,1370,1871
266,2455,2599
266,1495,2681
267,4814,136
267,601,1451
267,1859,1527
268,1851,2748
268,1518,959
268,329,529
269,1020,886
269,2376,994
269,1020,1584
270,2376,32
270,2376,3937
270,102,1008
271,174,1569
271,3718,4029
271,174,382
272,762,177
272,448,831
272,579,100
273,1767,3760
273,921,1268
273,921,432
274,183,2904
274,1495,896
274,1614,3536
275,2337,275
275,2337,1091
275,2525,4165
276,150,229
276,526,936
276,363,73
277,1359,1573
277,362,170
277,850,858
278,1518,5000
278,1219,2783
278,691,2909
279,1269,1815
279,3425,4504
279,2769,4140
280,568,2944
280,1329,461
280,330,4899
281,1248,214
281,2002,29
281,3288,451
282,702,1111
282,3619,2098
282,3297,462
283,330,1931
283,1237,93
283,183,283
284,363,1163
284,758,368
284,866,5187
285,329,2097
285,148,3143
285,3452,796
287,148,1239
287,1818,981
287,174,4880
288,693,3
288,3151,36
288,46,2520
289,3598,1360
289,150,2149
289,1732,1825
290,3505,326
290,116,1335
290,578,5013
291,568,1649
291,540,1253
291,183,2867
293,1077,166
293,2769,2853
293,3512,569
294,540,3233
294,1818,378
294,35,2958
295,540,549
295,540,164
295,187,384
296,2709,4162
296,3288,1118
296,3033,3585
297,779,451
297,779,21
297,1851,411
298,362,2528
298,395,1622
298,1303,300
299,532,1782
299,905,2019
299,905,3058
300,1303,2628
300,1518,1683
300,532,1836
301,4233,4806
301,579,659
301,5092,4742
302,24,1849
302,736,160
302,943,1006
303,1495,1982
303,4349,563
303,116,1038
304,4586,2402
304,3661,138
304,2769,2672
305,174,2561
305,102,1552
305,1657,1576
306,46,622
306,866,1564
306,605,1044
307,1818,4846
307,1818,993
307,2634,3844
308,148,4433
308,779,357
308,3608,5073
309,693,2216
309,693,3528
309,225,184
310,2461,761
310,102,989
310,2002,29
311,2799,1757
311,1767,695
311,1914,311
312,1353,1365
312,2455,1475
312,435,239
313,183,2861
313,3385,521
313,4529,963
314,395,2508
314,362,519
314,2480,2
316,286,970
316,753,1534
316,3196,49
317,2320,894
317,3867,1294
317,556,172
318,3033,282
318,1219,1326
318,3297,318
320,329,347
320,1161,2095
320,360,5070
321,3388,1466
321,2772,3520
321,3288,282
322,982,2859
322,758,1028
322,982,440
323,3070,2082
323,3070,2082
323,3070,480
324,3636,752
324,448,85
324,448,883
325,24,2308
325,4058,3670
325,24,224
326,905,3485
326,1859,966
326,905,3758
327,2932,2606
327,3096,3113
327,2713,2600
328,330,4350
328,888,2465
328,4443,2918
331,1248,454
331,35,649
331,4058,63
332,2713,4290
332,398,927
332,3033,5170
333,1359,387
333,3199,1097
333,1772,1044
334,42,2608
334,1269,549
334,355,2984
335,187,1382
335,435,344
335,42,507
336,2604,2657
336,3608,3140
336,850,856
337,753,221
337,1505,627
337,1353,509
338,46,1982
338,116,2572
338,4443,1806
339,102,716
339,102,4336
339,116,721
340,373,77
340,1851,765
340,556,1289
341,2226,189
341,1868,6
341,2226,5112
342,435,503
342,1164,139
342,355,739
343,42,1007
343,42,1052
343,2362,3232
344,435,2239
344,578,4877
344,225,230
345,3385,521
345,601,188
345,3385,2066
346,753,454
346,1250,1043
346,753,331
347,373,891
347,24,2584
347,183,1814
348,905,2
348,905,2
348,1384,548
349,2362,343
349,3556,4023
349,3388,4436
350,3868,62
350,3868,2901
350,702,449
351,3505,240
351,1155,251
351,3505,290
352,329,1619
352,329,2361
352,102,33
353,2002,4076
353,3220,489
353,2399,630
354,35,311
354,355,2940
354,355,824
356,3556,0
356,1128,72
356,330,1826
357,444,557
357,3915,2842
357,2880,55
358,102,36
358,691,1545
358,1751,3161
359,1250,551
359,601,2257
359,2513,3436
361,46,33
361,2680,3175
361,1400,146
364,1303,3523
364,360,1177
364,150,229
365,921,4263
365,1767,3035
365,1767,3760
366,373,5020
366,921,26
366,373,4609
367,526,384
367,360,1714
367,1972,2824
368,363,1228
368,779,64
368,758,3604
369,5118,239
369,1851,126
369,35,934
370,663,1233
370,373,826
370,444,125
371,2513,2674
371,292,709
371,1329,2
372,183,2343
372,174,1805
372,395,1385
374,4586,374
374,1020,1584
374,4586,772
375,3016,296
375,2376,959
375,1086,197
376,3636,324
376,1248,4919
376,949,651
377,2845,3958
377,444,2842
377,943,598
378,1818,854
378,398,3740
378,753,1600
379,444,3523
379,532,2519
379,532,83
380,4006,145
380,398,4106
380,1229,317
381,102,784
381,319,1406
381,148,2133
382,943,709
382,943,834
382,2455,3995
383,3385,349
383,3041,636
383,578,3287
384,1303,82
384,187,2244
384,187,2310
385,736,33
385,363,30
385,736,584
386,4671,251
386,2414,3830
386,329,3824
387,663,1761
387,4088,912
387,4088,3555
388,3070,1331
388,1155,3274
388,4195,733
389,3854,4922
389,2604,2084
389,362,2141
390,24,2250
390,2370,1185
390,1751,3161
391,1186,491
391,1885,3459
391,2320,1435
392,1772,306
392,2914,207
392,1772,306
393,4658,1221
393,736,1305
393,2745,3176
394,3868,996
394,3041,1407
394,46,3604
396,2289,159
396,150,84
396,2604,993
397,174,408
397,556,1907
397,1548,677
399,444,1786
399,3582,643
399,444,1909
400,850,2488
400,360,2495
400,850,37
401,2845,4687
401,3147,721
401,42,1134
402,4451,212
402,3582,796
402,1767,2531
403,3041,4573
403,2825,1954
403,3041,3612
404,24,1882
404,2142,1664
404,901,336
405,1400,1151
405,949,1255
405,601,396
406,997,105
406,997,205
406,42,1456
407,4157,240
407,4157,542
407,1086,1564
408,174,1875
408,1359,974
408,174,2310
409,1041,133
409,3718,1447
409,444,672
410,2881,2607
410,4586,772
410,4586,272
411,2406,202
411,35,434
411,1851,676
412,850,3317
412,2362,1242
412,2362,2088
413,1250,2344
413,3466,1940
413,1229,2921
414,435,613
414,174,1071
414,1161,1727
415,1751,103
415,997,2644
415,1767,1385
417,24,908
417,815,51
417,116,4326
418,292,1304
418,292,2548
418,4918,659
419,3147,419
419,1833,726
419,3147,389
420,3224,2360
420,691,1302
420,2104,2865
421,183,1268
421,116,1613
421,35,2567
422,556,4201
422,1085,531
422,977,196
423,2399,3
423,286,515
423,373,4340
424,4157,1048
424,102,2526
424,1128,2283
425,2604,2041
425,2604,1993
425,943,302
426,292,1170
426,556,1336
426,556,4982
427,1703,263
427,363,111
427,1703,1125
428,4451,2987
428,949,1
428,1767,674
429,663,3213
429,435,881
429,148,44
430,1833,3807
430,758,2571
430,758,984
431,24,699
431,319,2645
431,319,1009
432,4443,432
432,1467,2277
432,4396,2066
433,3466,2549
433,1819,193
433,444,1017
434,1370,382
434,330,4947
434,568,283
436,2745,93
436,2376,3946
436,2745,0
437,355,452
437,68,99
437,3371,2070
438,943,552
438,943,73
438,24,241
439,1370,1407
439,435,439
439,532,521
440,148,335
440,225,378
440,225,54
441,2932,2476
441,3096,2022
441,2932,2816
442,373,314
442,1507,1022
442,702,2174
443,812,903
443,150,2149
443,204,4385
445,373,1695
445,102,463
445,225,427
446,315,926
446,1767,83
446,1425,2151
447,448,970
447,3201,4862
447,42,474
449,3253,2030
449,568,2423
449,3253,927
450,187,564
450,1213,1906
450,187,321
451,4389,3569
451,3288,211
451,4389,3289
452,355,1821
452,355,300
452,779,2777
453,4451,402
453,1086,2920
453,1746,4502
454,753,6
454,753,655
454,1885,549
455,183,1889
455,4349,199
455,540,786
456,416,2552
456,540,849
456,416,65
457,3271,645
457,779,3219
457,1892,1734
458,2415,99
458,4671,47
458,4671,1286
459,1229,2114
459,187,950
459,578,728
460,1868,1529
460,663,260
460,225,90
461,1732,14
461,3371,2070
461,183,283
462,2680,1782
462,736,1765
462,148,1815
463,174,1707
463,4586,624
463,174,1373
464,150,3423
464,360,1916
464,360,1006
465,174,2588
465,1161,749
465,2281,669
466,478,4490
466,3271,424
466,3151,489
467,1229,1783
467,1098,1251
467,753,3464
468,187,3513
468,187,194
468,187,1382
469,35,1446
469,2104,162
469,2104,289
470,1833,1076
470,24,655
470,24,472
471,1250,1911
471,174,745
471,812,1688
472,292,3739
472,3041,403
472,1359,2188
473,1833,554
473,395,490
473,1767,660
474,1571,1
474,42,2
474,373,117
475,921,467
475,1303,1008
475,46,2578
476,1370,1407
476,46,972
476,204,49
477,46,293
477,1880,93
477,1880,848
479,1085,796
479,3592,924
479,1746,3006
480,4601,101
480,5071,729
480,2513,371
481,35,2256
481,736,240
481,2977,498
482,4550,1062
482,42,1321
482,812,857
483,448,1014
483,2002,310
483,204,141
484,102,104
484,3582,287
484,3582,402
485,398,5129
485,183,372
485,1155,431
486,806,4667
486,982,8
486,1086,1230
487,42,1135
487,42,342
487,812,5026
488,888,2243
488,888,3298
488,4737,1710
489,204,4695
489,68,1547
489,1746,51
490,68,2693
490,2768,3225
490,395,3039
491,225,4768
491,1186,1490
491,806,2098
492,204,1447
492,204,1320
492,1020,2018
493,2593,1832
493,2881,1
493,3133,87
494,444,214
494,444,2842
494,578,159
495,2825,3
495,532,1490
495,736,563
496,1772,157
496,888,79
496,888,2836
497,2414,206
497,3385,383
497,2414,1288
498,540,1737
498,3636,2402
498,2977,6
499,373,1549
499,2414,3850
499,901,120
500,225,1471
500,1746,479
500,1128,445
501,46,2214
501,1603,38
501,46,742
502,204,1982
502,4088,1003
502,204,1312
503,2525,59
503,977,700
503,4259,2810
504,2226,5112
504,2267,85
504,2267,1843
505,4259,505
505,42,2838
505,2376,994
506,42,3761
506,148,120
506,42,708
507,362,385
507,363,704
507,1303,321
508,1880,3510
508,2337,1572
508,2679,852
509,3297,1437
509,3297,28
509,762,3435
510,3196,193
510,691,3482
510,3196,316
511,691,358
511,1085,3
511,3297,3933
512,2358,1713
512,2358,1484
512,448,188
513,532,1151
513,1548,741
513,3825,4136
514,556,4076
514,183,1814
514,116,2075
515,2319,2241
515,1353,830
515,2319,1205
516,2480,3421
516,3630,559
516,24,1165
517,997,260
517,42,237
517,997,406
518,24,498
518,5118,239
518,5118,1048
519,578,747
519,362,549
519,578,3940
520,4349,199
520,183,602
520,292,1602
521,1098,1515
521,2877,128
521,395,3039
522,1885,865
522,2799,5039
522,702,2230
523,1400,1285
523,1767,273
523,2877,2187
524,3636,524
524,42,4489
524,758,103
525,1495,849
525,579,741
525,736,584
527,1746,814
527,1400,527
527,779,253
528,1455,1682
528,921,849
528,3146,1755
529,2914,1745
529,1400,527
529,292,171
530,1248,96
530,35,1836
530,68,153
531,2905,1538
531,1269,1634
531,1229,169
533,363,1803
533,183,585
533,183,728
534,2370,562
534,601,2954
534,1751,175
535,4562,23
535,174,239
535,24,678
536,3567,338
536,3567,2042
536,1161,4690
537,2414,2453
537,4451,453
537,4451,4333
538,977,268
538,362,207
538,2513,1075
539,693,1341
539,862,178
539,4258,255
541,1920,1536
541,1020,1712
541,4236,1988
542,329,18
542,3224,1540
542,4195,2131
543,736,594
543,693,2792
543,693,1372
544,4443,1328
544,355,2991
544,355,2991
545,330,1331
545,1657,1924
545,3070,3762
546,1384,1512
546,1384,1430
546,1384,3114
547,2370,520
547,779,494
547,174,2356
548,3661,353
548,1384,1887
548,3220,353
549,362,777
549,35,2567
549,2914,4588
550,46,793
550,1767,855
550,1767,64
551,24,1412
551,435,3002
551,1455,1114
552,943,2897
552,3915,5
552,943,497
553,395,1539
553,1338,1090
553,416,18
554,1833,144
554,448,3861
554,448,1720
555,2414,3639
555,329,2114
555,360,14
557,4195,4902
557,444,2
557,444,2842
558,4601,624
558,693,7
558,1250,161
559,373,12
559,373,4746
559,3630,861
560,174,1900
560,46,477
560,4529,507
561,363,2428
561,2480,561
561,24,629
562,2881,127
562,35,4831
562,605,2094
563,4349,520
563,691,1632
563,2825,133
564,3096,327
564,3592,3663
564,2932,2797
565,2869,2996
565,2869,3190
565,605,1131
566,1086,1510
566,3371,869
566,1086,397
567,2799,2103
567,355,298
567,753,664
569,183,78
569,183,641
569,46,1061
570,1819,1279
570,3070,1014
570,3868,2523
571,532,1074
571,4443,1328
571,532,32
572,2461,310
572,2461,230
572,1338,2154
573,42,1007
573,363,561
573,360,3155
574,1772,16
574,286,1661
574,4406,3778
575,1751,4602
575,1229,365
575,330,4020
576,1248,1122
576,5004,178
576,1248,93
577,2932,564
577,187,244
577,663,847
580,1732,117
580,2414,3617
580,1370,1419
581,286,533
581,2289,56
581,174,821
582,949,112
582,1186,121
582,579,300
583,1269,583
583,4599,236
583,4599,1290
584,150,158
584,1303,1008
584,1303,223
585,183,43
585,3466,2803
585,5118,118
586,395,3047
586,949,1062
586,448,3056
587,42,4610
587,42,4830
587,601,4831
588,1467,3090
588,1467,576
588,2170,2910
589,363,427
589,2772,9
589,225,44
590,2170,47
590,1164,144
590,1384,1474
591,4702,3031
591,46,620
591,1359,1042
592,362,1759
592,329,874
592,2320,4424
593,330,3950
593,395,1193
593,395,1196
594,977,78
594,116,3914
594,116,878
595,3253,36
595,46,424
595,2591,1932
596,1024,4722
596,1116,2172
596,1077,875
597,1859,1513
597,532,821
597,398,14
598,579,1047
598,478,4490
598,319,2645
599,3763,1540
599,532,1782
599,1400,163
600,1353,312
600,3766,178
600,1041,180
602,183,716
602,395,356
602,2880,4835
603,1507,2752
603,758,1750
603,1507,3322
604,1880,2206
604,1880,1068
604,1495,891
606,204,4306
606,204,4202
606,204,318
607,3556,0
607,949,2187
607,319,2041
608,355,567
608,4562,3579
608,355,2828
609,148,1992
609,1248,576
609,1571,255
610,2002,4076
610,806,1174
610,693,835
611,360,2701
611,42,917
611,360,2961
612,4071,2731
612,1703,508
612,1703,1004
613,3854,389
613,3854,4843
613,435,249
614,1237,351
614,2745,769
614,1229,299
615,150,2921
615,1495,2187
615,187,3604
616,1219,3286
616,4855,2716
616,4855,878
617,355,2125
617,1614,145
617,3388,4325
618,2260,2418
618,815,296
618,3033,1529
619,435,914
619,4195,262
619,1353,748
620,46,798
620,204,4306
620,204,2231
621,663,1348
621,24,966
621,605,4770
622,116,1616
622,46,539
622,1819,1212
623,68,244
623,901,1256
623,183,4391
624,943,2771
624,35,47
624,1400,1228
625,556,3400
625,355,188
625,2772,2369
626,2881,2411
626,982,1491
626,3592,3819
627,3452,22
627,1441,694
627,1505,238
628,183,1559
628,1892,2886
628,2881,1
629,601,1863
629,24,3511
629,2281,142
630,102,273
630,1370,1871
630,1370,10
631,398,1673
631,225,656
631,102,521
632,5071,1393
632,3942,785
632,3942,795
633,4658,1221
633,779,117
633,578,1494
634,1571,4430
634,2679,4414
634,2679,5178
635,2845,4993
635,319,2883
635,3427,677
636,24,809
636,292,4999
636,905,1207
637,148,700
637,532,984
637,1161,396
638,1603,1552
638,921,1779
638,373,474
639,4374,3530
639,42,64
639,362,5034
640,3371,3632
640,4233,2266
640,605,1677
641,35,3789
641,905,400
641,360,131
642,3427,25
642,3427,1180
642,3427,17
643,1250,1961
643,1024,230
643,1024,1010
644,1914,7
644,526,208
644,578,942
645,1128,309
645,3288,8
645,1128,1895
646,4088,304
646,1116,336
646,702,1616
647,997,724
647,779,559
647,2461,1366
648,601,1451
648,691,358
648,691,3862
649,35,4211
649,42,700
649,42,2478
650,1338,1712
650,556,3929
650,1116,43
651,2713,1742
651,2713,2016
651,35,132
652,363,131
652,435,414
652,116,606
653,3969,987
653,24,2441
653,174,1943
654,478,126
654,148,2899
654,997,277
655,753,662
655,601,324
655,753,655
656,1086,2558
656,150,1979
656,579,1052
657,526,1987
657,526,4904
657,448,405
658,435,170
658,150,1011
658,1920,737
659,68,1628
659,1271,4765
659,579,708
660,1892,370
660,1767,855
660,850,1193
661,1425,1730
661,997,873
661,4331,741
662,3915,525
662,753,4200
662,355,1266
664,24,4785
664,478,1841
664,1161,1866
665,3718,1447
665,556,665
665,1098,808
666,601,280
666,997,973
666,997,637
667,1892,135
667,2881,84
667,1885,2921
668,2376,460
668,3766,600
668,3766,1122
669,444,3426
669,2281,752
669,526,879
670,4658,3650
670,4658,3650
670,605,2161
671,1495,1706
671,556,1289
671,1338,122
672,815,48
672,1603,4447
672,329,347
673,3151,3470
673,4453,3338
673,4453,1227
674,1507,2014
674,2745,1143
674,1507,2242
675,150,320
675,150,241
675,982,4607
676,373,4266
676,373,4184
676,373,1099
677,174,1828
677,997,637
677,997,2491
678,42,1070
678,24,2766
678,42,3087
679,1703,1532
679,3630,559
679,225,51
680,1614,151
680,862,767
680,862,936
681,1384,618
681,1384,1535
681,1219,140
682,2160,445
682,150,1520
682,2104,918
683,319,1097
683,982,1631
683,997,3009
684,42,2273
684,556,1884
684,556,1289
685,46,1410
685,702,399
685,46,2756
686,1332,3166
686,1219,3546
686,1332,1147
687,42,3015
687,2370,752
687,2289,457
688,736,1765
688,1920,2933
688,4349,1158
689,1329,23
689,1271,3837
689,3582,3688
690,1400,1337
690,1400,357
690,579,53
692,286,2761
692,35,2603
692,286,687
694,921,1075
694,921,49
694,183,667
695,1767,2412
695,4195,59
695,1164,818
696,1518,1234
696,758,696
696,102,989
697,1020,609
697,2769,173
697,3354,2275
698,1359,4234
698,35,641
698,416,1124
699,292,34
699,355,379
699,663,260
700,42,3720
700,2104,262
700,174,1424
701,2877,2220
701,1086,2920
701,2877,602
703,319,817
703,556,1323
703,556,172
704,1507,231
704,1833,2972
704,225,618
705,3576,1203
705,2370,1
705,42,2838
706,4416,591
706,435,1261
706,362,271
707,478,2921
707,1885,462
707,150,76
