N1,A,N2
224,24,2956
225,68,1678
226,150,19
227,148,674
228,46,312
229,150,1851
230,116,2405
232,35,411
233,35,469
236,35,120
237,42,147
238,174,3183
239,24,635
240,116,3167
241,174,208
242,46,2253
243,150,3083
244,68,1514
245,174,2413
246,174,825
247,116,4617
248,42,478
249,42,2629
251,24,4785
252,35,1446
254,42,2495
255,102,2523
257,35,629
261,24,1839
263,24,1247
264,35,274
265,150,131
267,24,2214
268,35,2643
269,102,1024
270,68,784
271,150,360
273,116,0
274,35,4520
275,68,886
276,150,2289
279,68,4073
281,68,886
284,148,530
285,174,513
287,174,4648
288,46,853
289,150,3300
290,68,49
291,35,1758
292,35,3176
293,46,1279
294,35,1421
297,24,706
298,42,1415
300,150,514
302,24,1719
303,116,808
305,102,49
306,148,3644
308,148,1444
309,46,4115
310,102,255
311,35,1212
312,46,2229
314,150,490
317,102,631
318,46,693
320,35,331
321,150,137
322,148,2845
323,116,3549
324,42,364
325,24,1150
326,68,244
327,24,1690
329,150,602
330,102,4336
331,116,1692
333,42,136
334,116,125
335,148,2195
338,68,81
339,46,1777
340,42,1546
342,42,4489
343,42,429
346,42,524
347,24,1396
350,46,5028
351,116,1994
352,102,3877
354,35,3883
355,148,157
358,102,4500
360,150,1078
361,46,2050
362,148,3869
363,150,9
364,150,373
366,35,2031
368,174,287
369,35,411
370,35,434
371,35,411
372,174,4590
373,150,2762
374,150,1303
375,116,1402
377,68,1981
381,102,107
382,174,27
383,24,678
384,116,814
385,150,657
386,148,3108
387,42,2327
389,150,1826
390,24,251
392,42,1
394,46,2949
395,150,922
396,174,4727
397,68,3435
399,42,298
401,42,1135
402,148,3735
404,24,1081
406,42,2495
408,174,1007
409,148,4429
411,35,698
412,116,1692
413,102,2168
414,174,3071
415,35,923
416,35,2133
417,68,2286
418,42,527
421,116,1335
422,42,4051
424,46,476
426,24,976
427,116,622
428,35,312
429,148,2180
431,102,169
432,46,1941
433,46,677
434,148,2772
435,148,1431
437,68,3774
438,24,4785
440,148,58
442,68,572
443,150,121
444,116,273
445,68,1077
447,42,1094
448,150,3226
449,148,909
450,68,3572
454,150,289
455,102,1431
457,42,678
461,35,3789
462,148,3461
463,174,712
464,150,241
465,174,33
466,116,3914
468,68,1539
469,35,3701
470,24,302
471,148,3825
472,24,3553
473,42,981
474,42,435
475,46,1706
476,46,1218
477,46,2083
478,42,254
479,174,110
480,24,1598
481,35,2385
482,42,1998
483,68,1788
484,102,592
485,46,1880
487,24,2579
489,68,711
490,150,2169
491,68,1788
495,68,2628
497,148,2738
498,24,84
501,68,81
502,102,1113
503,174,560
505,42,406
506,148,1231
507,42,1943
512,46,870
513,174,1592
514,116,4016
516,150,2722
517,42,684
518,24,991
521,102,4886
523,42,342
524,42,2745
525,174,2305
526,150,526
527,42,597
530,35,1421
531,46,210
532,46,769
534,35,66
535,174,414
536,46,2411
538,148,386
539,102,141
540,150,561
543,24,3778
544,35,415
547,24,2369
549,35,3412
550,46,1077
551,24,1772
553,150,563
555,102,2090
558,150,1588
559,150,1370
560,174,239
561,24,651
562,42,3985
563,150,386
568,150,2263
569,46,1911
572,150,43
573,42,84
578,174,241
579,148,583
581,174,4693
582,148,2966
583,35,4010
584,150,670
586,35,2291
587,42,2014
588,150,584
589,116,2578
591,46,432
592,102,4377
593,35,1127
594,116,1702
595,46,2896
596,68,1395
597,24,2487
599,35,415
601,24,2004
602,150,682
606,116,1038
607,35,1752
609,148,599
610,68,1366
611,42,1084
615,150,923
620,46,885
621,24,3104
622,102,2168
623,46,1143
624,35,1212
627,148,2782
629,35,2466
630,46,352
631,102,2699
633,116,814
635,24,678
636,24,1855
637,148,440
638,46,1622
639,42,523
641,35,417
649,35,2603
651,35,3412
652,116,672
653,24,417
654,35,4010
655,24,238
656,150,3423
657,148,248
658,150,3482
659,68,2594
660,148,750
661,102,455
662,42,159
664,24,1165
665,148,37
666,24,3933
670,150,223
671,116,1616
672,102,978
673,116,652
674,148,637
675,42,573
677,46,794
678,42,29
679,148,1979
680,46,1126
682,102,1050
684,42,128
685,68,1103
687,42,384
688,116,1186
692,35,3763
693,102,228
696,102,3294
698,35,4051
699,24,263
700,42,2024
701,116,514
702,68,450
703,42,621
704,35,22
705,42,1007
706,174,2193
707,150,1394
708,42,517
709,24,9
710,42,1274
711,68,2171
712,174,1373
713,24,5159
714,150,1792
715,174,857
716,102,848
718,68,1550
720,148,175
721,116,3806
726,35,2489
728,46,1447
730,68,2793
733,148,1511
735,150,386
736,35,2351
739,24,1300
741,150,2660
742,46,2411
743,46,750
744,24,2294
745,42,11
746,150,2978
747,148,1979
749,150,1297
750,102,1120
753,35,4200
757,35,64
758,116,466
759,148,1772
760,35,3433
761,102,1317
763,148,77
769,46,1061
770,116,2330
771,46,2484
775,116,3486
777,42,2714
779,35,2823
783,68,4065
784,68,2693
788,116,1613
789,68,1455
791,46,2545
793,46,671
794,46,1108
797,116,1667
798,116,3700
803,24,2441
804,150,1813
805,35,371
807,42,4051
808,116,4326
809,46,769
810,150,223
814,116,5034
815,116,91
816,35,593
818,102,2810
819,35,360
820,102,381
821,174,1059
825,150,321
829,174,2738
831,174,829
832,24,2498
833,68,501
835,68,1428
836,35,1735
837,24,347
840,35,1944
841,148,746
842,174,237
845,174,1693
846,150,1078
848,46,1828
849,42,1274
851,42,745
853,46,1471
855,116,3914
856,42,745
857,174,368
858,150,624
860,102,560
861,150,1099
865,150,1544
866,42,159
867,150,1103
870,116,1996
872,46,184
878,116,216
879,35,3412
882,148,1777
883,42,401
885,46,870
886,68,29
887,102,310
888,42,1851
889,116,2209
890,116,5011
892,116,2294
895,35,64
896,148,530
899,35,252
900,102,463
902,116,3665
903,24,2272
908,24,431
909,148,747
911,24,3553
912,174,4531
914,174,1004
915,24,271
916,148,1333
917,42,4723
921,116,170
922,150,746
923,116,1075
924,116,76
928,46,1113
929,42,1558
930,42,2490
931,24,3415
933,148,5046
934,35,726
936,46,2293
941,46,921
942,148,2638
943,150,238
945,150,111
946,68,54
947,46,750
951,150,354
954,116,1452
956,35,4968
957,102,431
960,24,1270
961,116,1078
963,116,2411
964,42,1334
965,174,4077
966,42,401
970,24,5078
972,35,47
974,174,965
975,116,33
976,24,25
977,148,763
978,102,133
979,46,1227
981,42,2088
982,148,798
983,46,1108
984,148,3631
987,150,2126
988,174,1142
989,102,358
991,24,1878
992,174,831
995,174,1977
997,174,6
998,116,1711
1000,174,700
1004,24,2602
1007,174,1007
1008,102,818
1010,116,1385
1011,150,858
1014,68,5027
1015,148,3924
1018,24,1789
1020,46,170
1022,42,675
1024,68,1618
1026,116,424
1031,148,2752
1038,116,3555
1040,116,721
1042,42,340
1043,42,1272
1044,174,238
1048,42,126
1049,42,2490
1050,102,381
1051,46,1572
1052,42,1888
1055,102,3796
1057,35,4115
1059,24,5024
1060,102,125
1061,102,83
1062,68,596
1066,148,2782
1068,46,1942
1070,42,3917
1071,24,1018
1073,24,1212
1075,116,1696
1076,42,1185
1077,46,228
1078,42,1070
1079,148,2650
1080,42,1049
1081,24,1400
1083,148,402
1084,42,343
1085,102,921
1094,42,4213
1095,46,2435
1098,150,987
1099,150,188
1100,150,1749
1101,42,1225
1103,150,1807
1104,68,2215
1105,42,287
1106,174,535
1107,42,4543
1108,174,2027
1110,24,308
1111,68,81
1113,102,1521
1117,68,2173
1119,150,1900
1120,116,998
1121,150,923
1123,35,1170
1124,42,597
1126,46,3858
1127,68,2449
1134,46,1572
1135,42,3772
1136,24,1882
1139,24,101
1141,42,966
1142,174,1722
1143,46,2055
1144,24,635
1149,24,1233
1150,24,390
1151,35,1952
1153,24,991
1157,148,213
1160,174,107
1161,42,249
1162,46,983
1163,116,273
1165,24,2294
1167,46,743
1170,35,4735
1177,35,4319
1179,148,157
1180,174,2701
1183,35,2558
1185,42,678
1186,102,1511
1188,174,1424
1189,24,390
1194,35,4090
1199,42,665
1202,46,1392
1207,42,223
1209,68,1384
1212,68,4058
1217,116,3110
1218,46,2670
1219,68,468
1220,68,4576
1221,116,998
1225,42,3522
1227,46,4282
1228,35,22
1231,148,1992
1232,46,1051
1233,24,2988
1234,46,502
1235,35,670
1237,102,2118
1238,42,429
1239,148,236
1242,35,469
1243,68,1186
1246,148,2650
1247,24,2039
1248,102,1077
1250,46,4356
1254,102,1085
1255,150,922
1261,116,1038
1262,68,83
1265,68,2749
1267,68,711
1268,148,4339
1269,46,305
1270,24,3881
1272,42,1916
1274,174,1309
1277,116,1393
1279,68,3768
1288,46,339
1290,42,5142
1292,174,2738
1295,35,2190
1297,150,735
1298,46,886
1299,150,4320
1300,42,1693
1303,150,3223
1306,102,433
1307,24,13
1309,174,471
1313,42,1076
1315,35,1073
1317,102,2090
1318,102,0
1321,42,657
1323,46,193
1327,24,2823
1329,150,2904
1330,42,2445
1333,148,3735
1334,42,3491
1335,116,172
1338,150,846
1340,148,530
1344,102,3638
1348,68,1751
1351,174,2738
1354,68,761
1355,174,1708
1357,68,3231
1358,68,445
1359,148,2925
1360,68,1318
1362,42,5142
1366,68,4418
1370,174,4153
1372,46,2055
1373,174,2754
1374,116,3505
1376,116,421
1378,24,5159
1381,35,934
1384,68,682
1385,68,1981
1391,116,890
1392,46,2680
1393,46,161
1394,150,143
1395,24,832
1396,24,2815
1400,24,908
1402,116,942
1403,24,3557
1406,24,636
1408,24,2363
1410,116,1726
1412,35,5189
1413,174,396
1415,42,866
1420,35,1799
1421,35,370
1422,24,965
1424,174,1875
1426,68,1317
1428,68,228
1431,148,1444
1436,148,75
1440,24,1270
1443,35,2656
1444,102,2578
1446,35,1000
1447,46,928
1451,35,164
1452,116,334
1453,24,432
1454,68,1317
1455,68,290
1456,42,700
1459,148,1436
1462,42,2327
1463,68,1843
1468,24,4423
1469,102,2086
1471,46,921
1476,150,2881
1477,68,204
1480,46,288
1493,24,1526
1495,102,107
1498,46,4012
1501,68,5063
1505,148,3581
1506,102,133
1511,148,882
1513,102,1010
1514,42,1134
1516,148,2801
1520,150,804
1521,102,141
1525,46,539
1526,24,3664
1530,148,779
1539,68,3768
1542,24,3557
1543,35,370
1544,150,1856
1545,68,1623
1546,24,3557
1547,46,2083
1548,150,443
1550,68,1751
1552,46,2435
1558,42,2004
1561,35,389
1564,148,1444
1565,148,1747
1567,24,2860
1568,24,4709
1569,174,200
1570,174,4780
1571,148,841
1572,116,1010
1575,46,1802
1576,68,1385
1581,150,1011
1583,46,979
1584,116,890
1585,24,2988
1588,150,84
1592,24,931
1595,35,1049
1598,150,65
1600,35,1040
1603,46,1126
1613,116,424
1615,24,1809
1616,102,1702
1618,68,3231
1622,46,2680
1623,46,771
1628,116,417
1630,24,1874
1635,174,992
1648,24,3235
1649,68,3930
1651,46,4038
1652,148,1848
1653,24,383
1657,42,4436
1662,150,188
1663,150,396
1667,116,3110
1668,35,16
1673,102,1060
1674,46,633
1675,174,2588
1678,68,495
1687,42,2221
1688,148,997
1690,24,3933
1691,68,4889
1692,116,2244
1693,42,1462
1695,35,81
1696,116,1572
1700,46,93
1702,116,622
1703,116,1040
1706,46,2229
1707,174,745
1708,174,1675
1709,102,51
1711,116,889
1717,102,421
1718,24,238
1719,24,1422
1722,174,1424
1724,148,1431
1725,102,784
1726,116,890
1728,102,1254
1729,102,1431
1733,35,2921
1735,24,551
1736,150,3591
1739,150,2643
1741,46,133
1744,102,1
1745,35,698
1746,46,3697
1747,148,2588
1748,35,17
1749,46,1700
1751,116,1628
1752,35,448
1753,35,3630
1755,116,334
1756,24,2308
1758,42,1787
1763,24,2823
1765,68,230
1766,174,842
1772,35,3505
1775,68,95
1777,46,2765
1780,150,395
1781,68,81
1782,46,312
1787,42,5014
1788,68,442
1789,24,2584
1792,150,867
1798,42,422
1799,35,188
1801,24,713
1802,46,2545
1803,35,416
1805,174,821
1807,150,865
1809,24,2363
1811,68,1765
1813,150,154
1815,148,997
1818,116,339
1821,148,637
1826,150,1930
1827,42,3928
1828,46,1651
1829,68,1426
1833,24,2493
1834,150,615
1835,46,974
1836,35,3176
1837,174,2143
1839,24,2890
1840,102,2090
1843,68,4032
1844,102,2346
1848,148,3158
1849,35,363
1850,46,560
1851,35,670
1852,24,1153
1855,174,3071
1856,150,3482
1857,148,2610
1859,68,3774
1863,148,236
1864,102,5
1866,174,22
1871,24,2308
1872,24,2815
1874,24,1948
1875,174,1592
1878,24,4477
1880,102,83
1882,24,343
1883,102,2206
1884,42,703
1885,46,4082
1886,42,3142
1888,174,285
1889,174,1707
1893,24,1378
1897,68,4404
1899,46,1480
1900,174,547
1903,35,1753
1907,42,929
1910,24,3857
1911,148,1431
1914,150,922
1916,42,3728
1917,42,615
1922,150,305
1923,150,194
1925,24,5024
1930,150,329
1931,150,289
1940,174,1180
1941,46,2949
1942,46,2181
1943,24,2754
1944,35,1628
1945,46,1323
1946,46,4115
1948,24,3784
1949,116,2787
1952,35,64
1961,46,2578
1964,24,4008
1965,24,3881
1966,46,2877
1971,24,383
1976,102,455
1977,174,2188
1978,35,2389
1979,150,804
1981,68,172
1982,46,433
1983,24,1878
1985,68,4418
1989,148,1246
1991,116,770
1992,148,335
1993,24,261
1994,148,175
1996,116,1410
1998,42,29
2000,42,298
2002,116,1828
2004,24,1004
2014,42,1070
2024,42,223
2027,174,3526
2029,35,1543
2031,35,64
2034,24,965
2035,174,200
2037,68,1864
2039,24,976
2040,102,193
2050,46,1014
2053,46,1452
2055,102,2053
2058,46,502
2060,35,120
2064,116,1498
2068,68,1550
2071,102,2206
2073,116,2073
2075,116,242
2078,42,245
2079,24,3248
2083,46,1623
2085,174,2754
2086,102,290
2087,42,1292
2088,46,974
2089,24,543
2090,102,1085
2097,150,395
2103,68,177
2105,24,2993
2107,42,75
2111,148,660
2112,46,2545
2115,24,4078
2116,35,923
2118,102,2346
2123,116,2209
2124,148,2134
2126,150,276
2127,35,809
2133,148,75
2134,148,779
2139,46,2514
2140,24,837
2143,174,164
2146,148,1772
2149,150,137
2156,102,1243
2160,68,3052
2168,46,1471
2169,150,2722
2171,68,1279
2173,102,1374
2176,46,502
2180,148,335
2181,46,3166
2188,174,1978
2190,35,601
2193,174,90
2195,148,137
2200,35,760
2201,102,413
2203,148,2274
2206,102,2832
2207,42,5014
2209,46,2781
2214,46,2520
2215,68,783
2218,24,2754
2219,68,5043
2221,42,2107
2229,46,677
2231,24,438
2237,46,2318
2239,35,2656
2242,148,982
2244,116,129
2250,174,1424
2253,46,814
2255,42,4489
2256,35,115
2263,46,1746
2267,150,241
2268,68,4112
2269,46,339
2272,24,94
2273,42,527
2274,148,3002
2281,150,221
2286,68,501
2289,150,553
2291,35,53
2293,46,2293
2294,24,271
2300,35,4115
2305,174,81
2308,24,3230
2309,24,4150
2310,42,2327
2318,46,1300
2325,42,4538
2326,116,921
2327,42,518
2330,116,788
2332,24,2272
2335,42,964
2336,102,273
2342,35,3327
2343,174,241
2344,46,1452
2346,102,2346
2349,174,238
2351,174,3183
2352,68,1889
2354,46,1941
2356,174,1875
2358,150,1931
2362,24,1233
2363,24,3431
2366,102,381
2369,24,1855
2370,42,97
2376,116,1393
2382,35,1151
2385,35,593
2387,148,402
2389,35,2564
2396,46,2293
2399,46,3708
2405,116,1751
2407,174,2740
2411,46,2176
2412,116,242
2413,174,912
2415,150,658
2416,24,217
2424,42,551
2431,68,122
2435,46,125
2441,24,4592
2443,102,4032
2445,42,636
2449,68,2171
2453,42,22
2464,148,1979
2465,116,1040
2466,35,241
2472,116,890
2478,42,2
2480,174,2754
2483,24,1136
2484,46,1060
2487,24,2445
2488,24,1136
2489,35,4252
2490,42,1330
2493,24,591
2495,42,1185
2498,24,3438
2500,46,1616
2502,148,4637
2508,24,1526
2514,46,1525
2520,46,2083
2521,24,3779
2523,102,3991
2526,102,887
2529,150,1394
2533,150,1931
2538,24,601
2543,174,1569
2545,46,791
2547,150,389
2549,102,2090
2552,102,1511
2555,148,728
2558,35,2342
2560,46,2396
2561,174,825
2564,35,951
2567,35,294
2572,116,791
2578,46,1162
2579,24,1874
2584,24,1073
2588,174,1900
2594,68,54
2598,68,1550
2602,35,2695
2603,35,2643
2608,42,1022
2610,148,942
2614,174,271
2620,24,2309
2624,24,3784
2626,116,2123
2628,68,4552
2629,42,1884
2630,174,1707
2638,148,954
2643,174,1635
2645,24,2416
2649,46,2545
2650,148,2124
2656,35,1758
2658,68,3119
2660,150,2755
2661,102,2366
2665,68,3159
2666,116,998
2667,116,1335
2670,46,1393
2671,46,193
2675,24,3382
2676,68,2219
2680,150,3482
2693,68,833
2695,35,4845
2699,102,2086
2701,174,4693
2705,116,3486
2706,42,1274
2713,35,4352
2714,42,333
2716,174,1274
2720,116,3855
2722,150,2
2723,24,2027
2736,35,809
2738,174,1570
2739,24,383
2740,174,2143
2745,42,2
2749,68,783
2750,24,215
2752,24,2752
2754,174,33
2755,150,543
2756,46,1234
2762,150,1979
2765,46,1060
2766,24,271
2772,148,1231
2774,68,483
2778,46,1547
2781,46,1385
2782,148,1565
2783,148,265
2787,116,954
2792,116,758
2793,68,3618
2799,148,322
2800,68,610
2801,148,3735
2808,24,943
2810,102,1673
2814,150,226
2815,24,352
2822,116,797
2823,24,597
2826,35,81
2832,102,1709
2837,68,1514
2838,42,745
2839,24,1542
2842,42,2424
2844,102,463
2845,148,3869
2860,24,943
2865,148,1274
2867,150,1979
2874,42,562
2877,46,2083
2881,35,209
2882,24,2115
2885,102,1840
2890,24,803
2891,102,3638
2895,35,1978
2896,116,558
2897,150,2660
2899,148,1103
2903,102,661
2904,150,1780
2908,35,1309
2914,42,4047
2917,68,1788
2921,35,232
2925,148,2180
2928,24,1925
2929,35,651
2944,68,4576
2949,46,957
2953,35,342
2956,46,107
2958,42,1787
2963,102,1431
2966,148,841
2969,116,216
2977,68,1765
2978,150,810
2981,35,760
2988,24,1592
2993,24,4662
2998,35,2754
3002,148,58
3004,102,2090
3009,42,931
3015,42,4610
3033,68,569
3035,102,1880
3039,35,4419
3043,102,1008
3044,24,4005
3045,68,2286
3052,68,133
3060,68,1477
3061,24,5159
3065,68,1220
3067,150,1739
3071,174,2643
3076,46,306
3077,116,652
3078,150,1931
3082,24,1292
3083,150,2921
3087,42,4331
3097,24,2675
3104,24,1313
3105,42,1076
3108,148,1340
3110,116,2412
3112,46,1622
3115,148,3002
3119,68,468
3122,68,1501
3125,42,3180
3136,102,2156
3142,24,1993
3143,148,819
3147,68,338
3156,68,1228
3158,148,2203
3159,68,3556
3166,46,4837
3167,116,3537
3171,148,22
3172,42,298
3174,102,578
3176,35,1309
3180,42,1043
3183,174,1370
3184,102,1
3190,148,1031
3191,46,4200
3196,148,728
3208,35,530
3213,46,2214
3221,102,2903
3223,150,2149
3226,150,110
3230,24,94
3231,68,2171
3233,24,809
3235,24,1327
3238,46,3877
3248,24,1585
3258,24,261
3259,116,797
3269,102,104
3276,35,544
3281,68,1104
3284,68,3888
3292,102,631
3294,102,4386
3300,150,271
3312,68,1366
3316,35,320
3322,68,5063
3325,42,1070
3327,35,3433
3328,116,12
3331,102,3877
3336,24,1359
3352,150,2490
3356,116,41
3357,116,890
3360,46,1844
3382,24,239
3388,68,2944
3391,150,1329
3399,102,2443
3404,24,2250
3405,68,4231
3406,102,3968
3410,102,1393
3412,35,1695
3415,24,404
3420,68,186
3423,150,928
3428,68,3420
3431,24,1270
3433,116,2969
3435,68,281
3437,148,763
3438,24,4477
3444,42,1916
3453,35,1952
3461,148,91
3462,24,2754
3468,46,1942
3470,42,1052
3472,42,2342
3476,35,331
3480,148,1777
3482,150,1370
3486,68,4576
3491,42,160
3497,102,1495
3505,116,3546
3511,24,3618
3512,68,483
3514,42,73
3522,24,1789
3526,174,414
3529,102,339
3530,24,903
3537,35,154
3540,35,2389
3546,116,0
3549,116,1374
3553,24,1648
3555,116,375
3556,68,3045
3557,24,966
3562,24,3438
3564,102,60
3566,68,1649
3572,68,572
3581,148,779
3584,42,1043
3590,148,1295
3591,150,3352
3604,46,1288
3618,68,2944
3630,35,294
3631,148,284
3632,24,2823
3633,68,4684
3634,35,389
3638,102,2885
3643,68,3897
3644,148,1989
3645,116,1393
3647,42,362
3649,35,593
3652,24,5078
3662,42,1052
3664,24,601
3665,116,902
3672,35,47
3677,174,25
3680,46,835
3697,46,595
3700,116,693
3701,35,3530
3702,174,2343
3708,46,3213
3716,24,5078
3720,42,2014
3728,150,2358
3735,148,652
3740,46,671
3742,148,609
3746,24,4150
3751,46,1202
3754,42,1084
3761,42,2308
3763,35,4508
3768,102,1844
3770,35,84
3772,42,248
3774,68,1550
3775,35,1183
3778,24,2231
3779,24,2956
3784,24,431
3789,35,132
3796,102,3399
3799,46,3799
3802,42,3472
3806,116,1755
3825,148,2203
3842,42,30
3855,116,2002
3856,35,214
3857,24,1153
3858,46,339
3866,35,2981
3869,148,1079
3877,102,593
3881,24,547
3882,150,110
3883,35,411
3884,42,3142
3888,68,3618
3897,68,270
3899,42,120
3904,24,4150
3912,42,1998
3914,35,1167
3917,42,392
3918,24,4008
3924,148,3002
3928,42,2495
3930,68,51
3933,24,1718
3936,35,2040
3940,24,5024
3942,150,389
3944,46,228
3952,150,131
3958,68,468
3962,24,1648
3964,148,747
3966,68,478
3968,102,230
3974,46,3740
3984,46,5119
3985,42,2478
3991,102,885
3999,116,334
4005,24,966
4008,24,602
4010,35,2389
4012,46,1108
4016,116,424
4018,24,3233
4024,46,2055
4032,102,204
4034,150,248
4038,46,2181
4041,24,1300
4043,174,845
4047,42,3912
4051,24,709
4058,68,2944
4061,46,685
4064,116,2792
4065,68,1026
4068,35,1443
4073,68,114
4077,174,1007
4078,24,241
4082,46,91
4090,35,879
4097,35,4513
4108,42,213
4109,102,2055
4112,68,685
4113,46,2896
4115,35,923
4122,24,431
4123,24,5186
4139,24,1893
4141,116,878
4143,35,581
4150,24,4539
4153,174,1875
4156,68,3122
4173,46,1298
4185,46,797
4197,46,347
4200,174,1355
4206,46,1288
4211,35,4520
4212,35,6
4213,42,447
4231,68,568
4239,35,1212
4241,24,498
4252,35,2300
4282,46,814
4299,102,375
4303,42,3522
4310,24,3044
4319,35,4606
4320,150,3882
4326,116,3700
4331,42,3015
4336,102,2206
4339,148,227
4349,42,3522
4352,35,371
4354,68,1024
4356,46,1622
4371,116,1726
4377,102,1077
4386,102,560
4393,174,140
4404,68,1267
4405,68,1897
4415,68,1103
4418,68,1550
4419,35,198
4423,24,2416
4427,42,3522
4429,148,3437
4433,148,135
4436,42,708
4468,46,633
4473,174,1888
4477,24,4539
4487,116,1410
4489,42,30
4493,68,3566
4495,46,2670
4496,46,176
4500,102,672
4505,42,4331
4508,35,1561
4513,35,1543
4520,42,333
4528,116,1277
4531,174,2480
4537,24,943
4538,42,29
4539,24,3336
4543,42,190
4552,68,483
4557,24,2089
4560,46,93
4576,68,596
4585,68,886
4589,150,923
4590,174,842
4592,24,392
4605,42,1884
4606,35,607
4610,42,2310
4617,116,798
4623,46,1749
4637,148,5046
4648,174,481
4651,46,4173
4653,35,2958
4662,24,3462
4680,68,1348
4684,68,685
4686,116,798
4693,174,1940
4709,24,2250
4711,102,1393
4720,24,1359
4722,68,1811
4723,42,418
4727,174,3702
4735,35,2823
4741,116,652
4767,42,997
4775,148,1979
4780,174,715
4781,35,115
4785,24,1150
4791,102,1431
4793,102,2810
4799,42,440
4829,24,1059
4830,42,429
4831,35,5189
4837,46,1014
4845,35,2720
4879,35,951
4880,174,2413
4885,68,702
4886,102,631
4889,68,2358
4892,42,1693
4912,68,177
4918,148,157
4920,24,1766
4921,46,1603
4943,174,1071
4951,35,4951
4968,35,241
4973,24,825
4996,24,237
5004,24,4996
5011,116,4885
5014,42,714
5024,24,182
5027,68,2671
5028,46,2269
5034,116,4064
5043,68,1209
5046,148,1268
5063,68,3505
5078,24,414
5085,42,1007
5102,35,704
5115,102,60
5119,46,501
5142,42,1078
5143,24,547
5146,68,693
5159,24,1789
5179,46,293
5186,24,2645
5187,42,1330
5189,35,3505
0,2887,1518
1,320,2165
2,1167,16
3,476,1764
4,1207,4069
5,3614,451
6,4308,189
7,929,3596
8,3410,2201
9,912,3704
10,409,240
11,587,738
12,788,1025
13,1706,3367
14,1684,911
15,96,3441
16,9,384
17,326,921
18,4148,1079
19,291,1813
20,2641,810
21,1609,227
22,2457,1098
23,1306,108
25,1138,824
26,2293,712
27,282,815
28,3155,2210
29,129,1476
30,2462,2837
31,117,1296
32,717,2996
33,3193,482
34,69,331
36,1986,1761
37,2452,525
38,846,1345
39,4370,181
40,1455,5184
41,621,1424
43,126,144
44,415,1823
45,801,107
47,307,3422
48,1607,4201
49,1447,881
50,1559,1971
51,1543,1376
52,4143,86
53,340,2934
54,3473,3117
55,1638,798
56,2841,350
57,5173,1370
58,388,69
59,456,5097
60,1700,204
61,47,108
62,3528,351
63,2890,118
64,5,668
65,1878,94
66,1411,2350
67,2348,567
69,1357,466
70,34,438
71,1397,153
72,401,347
73,2188,1843
74,594,955
75,1030,50
76,4506,2613
77,3736,811
78,317,247
79,197,2943
80,745,1949
81,1954,235
82,158,198
83,94,38
84,339,3585
85,1655,335
86,427,1358
87,2205,1322
88,76,566
89,1266,2101
90,551,213
91,293,2886
92,983,261
93,910,3226
94,1754,3040
95,1193,2488
96,1063,2545
97,2998,69
98,400,598
99,1216,210
100,1272,47
101,396,875
103,1167,244
104,451,1452
105,4782,1839
106,3106,1121
107,133,2949
108,4876,108
109,1665,105
110,665,2454
111,2146,4349
112,1274,9
113,1297,3530
114,229,1110
115,5177,3849
117,1584,26
118,1927,3622
119,1697,4078
120,2809,191
121,552,2153
122,4531,20
123,43,526
124,395,1299
125,379,4265
126,1420,22
127,1402,3695
128,2308,137
129,795,14
130,656,4
131,1318,3897
132,4933,1283
133,2775,1325
134,1458,3566
135,218,4468
136,2309,2736
137,4302,507
